"Team","PTS","PredTot","err","abs_err","flag"
"Dortmund",57,48.5,-8.5,8.5,"Under (pred<actual)"
"M'gladbach",45,53.3,8.3,8.3,"Over (pred>actual)"
"Werder Bremen",51,44.3,-6.7,6.7,"Under (pred<actual)"
"Wolfsburg",43,48.8,5.8,5.8,"Over (pred>actual)"
"Mainz",52,57.1,5.1,5.1,"Over (pred>actual)"
"Augsburg",43,47.5,4.5,4.5,"Over (pred>actual)"
"Freiburg",55,51.1,-3.9,3.9,"Under (pred<actual)"
"Leverkusen",69,72.5,3.5,3.5,"Over (pred>actual)"
"Union Berlin",40,36.8,-3.2,3.2,"Under (pred<actual)"
"Stuttgart",50,47.1,-2.9,2.9,"Under (pred<actual)"
"Hoffenheim",32,34.2,2.2,2.2,"Over (pred>actual)"
"RB Leipzig",51,52.9,1.9,1.9,"Over (pred>actual)"
"Holstein Kiel",25,23.2,-1.8,1.8,"Under (pred<actual)"
"Bayern Munich",82,81.3,-0.700000000000003,0.700000000000003,"Under (pred<actual)"
"Bochum",25,25.7,0.699999999999999,0.699999999999999,"Over (pred>actual)"
"Heidenheim",29,28.7,-0.300000000000001,0.300000000000001,"Under (pred<actual)"
"Ein Frankfurt",60,59.7,-0.299999999999997,0.299999999999997,"Under (pred<actual)"
"St Pauli",32,32.1,0.100000000000001,0.100000000000001,"Over (pred>actual)"
