Season,Team,PLD,GF,GA,PTS
D1_2020_2021.csv,Bayern Munich,34,99,44,78
D1_2020_2021.csv,RB Leipzig,34,60,32,65
D1_2020_2021.csv,Dortmund,34,75,46,64
D1_2020_2021.csv,Wolfsburg,34,61,37,61
D1_2020_2021.csv,Ein Frankfurt,34,69,53,60
D1_2020_2021.csv,Leverkusen,34,53,39,52
D1_2020_2021.csv,Union Berlin,34,50,43,50
D1_2020_2021.csv,M'gladbach,34,64,56,49
D1_2020_2021.csv,Stuttgart,34,56,55,45
D1_2020_2021.csv,Freiburg,34,52,52,45
D1_2020_2021.csv,Hoffenheim,34,52,54,43
D1_2020_2021.csv,Mainz,34,39,56,39
D1_2020_2021.csv,Augsburg,34,36,54,36
D1_2020_2021.csv,Hertha,34,41,52,35
D1_2020_2021.csv,Bielefeld,34,26,52,35
D1_2020_2021.csv,FC Koln,34,34,60,33
D1_2020_2021.csv,Werder Bremen,34,36,57,31
D1_2020_2021.csv,Schalke 04,34,25,86,16
